,0
11,"
メルカリは本人確認が必須になってきており閲覧数も少なくなり売れなってきました。あとメルカリ便の補償についてです。
梱包を完璧にしていた写真もあり、ヤマトが原因の破損とヤマトが認めた場合でも出品者は返金や全額補償が受けられない場合もあるそうです。なんのための本人確認なんでしょうかね？しかも6月に送料あげましたよね？高い物は出品しない方が良いです。
"
12,"
知名度が高く、皆さんがよく使われているフリマアプリでも、送料にまで10% の手数料がかかります便利ではあるが不親切なアプリだなと思います。まだまだ知名度は低いですが、Yahoo！ 系のアプリはその分手数料が還元されています。メルカリには本当は出品したくないです。でもよく使われているアプリなので、売上金が少なくなるが出品しています売れるたびにむかついています
"
13,"
購入したのに商品を発送して貰えない…等の明らかな迷惑行為には対処してくれます。
しかし、迷惑行為をした人に一定期間の販売行為禁止などの処置のみです。
個人的にはプロフィールにペナルティ等を付けて貰いたい。購入する際の目安にもなるので。
(出品者さんの信頼度を図る等)

評価等に関してのトラブルは基本、良くも悪くも利用者まかせ。
どうみてもおかしい評価をされたけど、取り合って貰えない。
確かに、当事者にしか(やり取りした)品物の状態や対応等は解らないし、感じ方も人それぞれだけど、質の悪い人に当たって被害受けても『当局は関与しません』はちょっと。
事故ったと思って泣き寝入りするしかないのかな、と思っちゃいました。

手数料10%取るなら、その分は運営さんに頑張って欲しいと思う(^_^;)

10%は中々の手数料ですよ。

良いお相手に恵まれたりなど、良かったことも沢山あります。
トラブルさえ無ければメルカリは良いシステムだと思いますので、今後も利用すると思いますが…
手数料と運営の恩恵のバランスの取れたサービスが出れば、そちらに移行するかな？
"
14,"
問い合わせ電話番号がないので、名ばかりのカスタマーサポートに内容を入力して送信して回答待ち。
解決せず、これを延々と繰り返してる。
☆すらつけたくない。評価は0!

糞すぎる！こんなカスタマーサポートもどきは初めて！
"
15,"
事実と異なる言いがかりをつけられ、悪評をつけられたため事務局に相談したが、先に問い合わせた方が勝ちという考えなのか、相手の主張が通らない限りこちらの問題には対応できないとのこと。
客観的に見てどちらが悪いか分かるよう証拠となる画像も添付したが、定型文のような返信のみで対応する気なし。
嫌な思いをしたり、騙されたりしないよう利用はお勧めしません。
"
16,"
かれこれ10年近く利用しており、売買の両方合わせて400件近くになります。
多少のトラブルは何度か経験がありますが、最終的には気持ちよく終われています。
他のフリマアプリも利用したことがありますが、一番売れるのはやはりメルカリだと思います。送料も、らくらくメルカリ便orゆうゆうメルカリ便で送れるものであれば安いですし、匿名配送、追跡もしてくれるので安心です。
逆にそのどちらかで送れないものは送料が高くなってしまったり、普通郵便（実名、追跡なし）で送ることになるのでやや不便だなと思います。
"
17,"
今回のメルカードにしても何をするにもストレスフル他のアプリと異なりやりにく過ぎ。申し込みするのに免許証の裏表の撮影は簡単に出来たものの最後の免許証のカードの厚みを撮影したいーということで指示に従って繰り返すこと100位？結局一時間半やっても出来なかった😫個人情報だけとられた😠ちゃんと本人確認したのだからきちんとして欲しい
"
18,"
キャンセル横行して売り主は着払い料金を取られます　事務局の対応がひどい　説明不足と決まった答えてだけでなんの対応も出来ない人で　うちはこうですから　うちのルールにしたがって下さいだから払えませんとかロボット対応　少し横柄な会社になってきてる感じです
"
19,"
糞以下の理由
1、他の方も書かれてましたが、理不尽な一方的なペナルティー食らわせたり、事務局の対応もマニュアル通りの糞対応でビックリしました。
2、業界最高値の手数料 今どき10パーの鬼手数料 Yahooプレミアム会員 8パー後半 ペイペイフリマ5か6パー 楽天6パー Yahooみたいに競り形式なら8後半手数料もまだ納得だが、メルカリみたいに送料込み、手数料10パーなら売る側の利点無し 買うには良いが何故あんな利点ないフリマで売るか謎すぎる？
3、Yahooや楽天みたいな買い物系のクーポンが無し、知り合い紹介や、しょぼいコンビニクーポンしか出ない。
いかにせこい運営かと、Yahooに押されてるかわかり易
4、売り上げ振り込み手数料取るメルカリ、何かと金取る おーいYahoo売り上げ振り込み無料やけど、いかに癖の悪くて金儲け主義かわかりやすい会社、クソ以下の為Yahooおくに戻る事にした。
モチメルカリは脱会する事にした。
そのうち傾いた時に解るんだろ、客あっての商売であり、ちゃんと客と向き合う大切さが、因みにメルカリで良かった点はなんもありませんでした。
"
20,"
総合満足度は最低1ですが、それ以下なので無評価にしました。

今回、メルカリにて商品を購入したが、初めて、”本人確認の依頼”が来ました。
すでに、過去に商品をメルカリで購入したこともあり、突然来たのでびっくりしました。
本人確認は、免許証で行ったのですが、運営側から、”免許証の住所と異なる住所が登録されている”とのことなので、利用制限を掛けられました。仕事上、出張が多く、自宅では受け取ることが難しいとの理由も運営側には説明したが、”免許証の住所を登録お願いします”の一点張り。
仕方なく、自宅の住所を登録したところ、今回、購入したものは自宅配送に。。。
某宅急便に住所変更の電話をしたら、メルカリで対応していただいてくださいとのこと。
メルカリに連絡しても発送後は変更できない。自宅には誰もいないのに、荷物も受け取れない。
最悪な対応です。今後、別のサイトを使用しようと思います。
"
21,"
後付けのルール改定が多過ぎる
ガイドライン読んでもイマイチ理解しにくい
大半の方がなんとなく同意しているだけの
フワッとしたルール

その前に違法出品物が多過ぎる
中学校ではメルカリアプリの閲覧禁止
という指示が出るぐらいの無法地帯です。
"
22,"
以前出品したものを上げ直ししたら突然削除！出品禁止物だって連絡が来た。以前は禁止じゃなかったから再出品したのになにこれ？どうでもいい連絡通知ばかり送って重要な通知は送らないメルカリ。
理不尽な利用制限や頭のおかしな人に当たって嫌がらせ評価も受けたしストレスがたまるたまる。事務局の対応にもイライラ。メルカリって利用者の事を考えてないよね。考えてるのはお金もうけの事だけ。利用者減るの分かるわ。
"
23,"
１０００円の文具福袋をほぼ購入時のまま、１３００円で売りましたが、送料に７７０円、メルカリ使用料に１３０円、銀行振込手数料に２００円差し引かれ、手元には２００円しか残りませんでした。労力にも商品を手放した割にもあわなかったなぁ。
"
24,"
返品対応で相談したら、何もサポートしてくれなくて、でも「引き続きサポートさせていただきます」ばっかり。
なんのための事務局なのか、びっくりしましたし、ガッカリしました。退会しました。もう二度と使いません。
"
25,"
Office2010出品したら取り消しくらってアウト。正規品のソフトで出品してもプロダクトキーがあるから禁止品目とか言われたんやが、キーワード検索でもアホほど出品されとるのに、全部取り締まれや 笑
運営はどんなチェックしとんねん。クソ狩
"
26,"
決済後 出品者の返信ナシ 発送コメント無し。年始につき やむ無く10日待てども、商品来ない。事務所問い合わせ→ 数時間後 いきなり返金あり 謝罪無し クレーム 配信したら 無言で 無期限利用制限 問い合わせ応じず。やむ無く退会したら 再登録不可 ！何これ？ これ程 ユーザーを 虫けら扱いの 商人 聞いた事無いですから、辞めて 良かった ガラクタ買い。大人のおもちゃ屋さんの無礼極まりないふるまい 当局に 通報 済み！
"
27,"
利用歴1年半、評価1000件弱
女性向けのアパレルなので、画像にこだわって撮影をしているものを、同ブランドの品を出品している利用者にたびたび無断転載され、それを何度も申告するも無視
画像の転載や無断利用はOKなのかと当方がメーカーや小売店の画像を掲載して出品たところ、本日すべての出品を削除、無期限停止を言い渡されました

知的財産権に触れるので画像の無断利用は禁止です、と居丈高に言ってきたが、こちらがどれだけ無断転載を訴えても何度も指摘してもこれまで無対応でいたか。
他社のように運営は画像の二次利用などは不問なのかと思いきや、なんの前触れもなくアカウントBANされました
多くの方が書いておられるように、他社アプリの方がよほど使い勝手がよいです
少なくともあちらは放置、こちらはBAN、といったような中途半端なことはメルカリ以外はしません
"
28,"
購入する側は良いと思いますが

出品側は
送料まで手数料がかかり

トラブルの際はコピー文の対応の事務局です
"
29,"
俳優の(故)山本昌平さん の顔写真をプロフに使ったら。勝手にいきなり星削られた。商品が届かない。出品者返信対応無い  事務所へ問い合わせ→結局 返金 利用制限された挙げ句に 脱会手続きに誘導され脱会した。ガラクタに金使わず。助かりました。
"
30,"
ガイドラインを遵守して出品していたのですが。
なんの前触れもなくいきなり、無期限利用停止を食らってしまいました。
全く身に覚えがないので、運営に問い合わせても。
「自分の胸に聞いてみろ」と、言いたげな理不尽かつ上から目線のコピペ回答で、取り付く島もなし。
高い手数料を払ってるのにこの無慈悲な対応……
ここの運営は本当に最低です!!!!

他のフリマの利用者がもっと増えて欲しい！
"
31,"
メルカリをサービス開始当初から
ずっと利用していましたが
2023年をもって退会しました。

【メルカリの良い所】
・利用者数フリマアプリNo.1
先行者利益ですね。
但し、登録者数＝利用者数ではありません。

・補填基準が緩い
有難いのですが
メルカリが赤字の原因はココも大きいです。


【メルカリの悪い所】
・事務局

担当者によって対応が180度違う事が
多々ありました。

完全なるキャパオーバー
出品禁止物が多数放置されている状態です。
誰でもアダルトな映像商品や雑誌が
手軽に買えてしまうカオスな状態です。


嫌がらせ通報、ライバル潰し通報を
間に受けて通報先をアカウント停止にする。
何度も冤罪を喰らいました。
本当に怒りを通り越して笑えてきます。


人間は怒りを通り越すと呆れますが、
更に呆れを通り越すと笑えてくるという事を
メルカリ事務局には教えていただきました。
本当にありがとうございます笑

100%の無実を証明するために
メーカー商品情報と写真を送っても
事務局の回答は毎回同じコピペ

『アダルト商品と事務局が判断した為』
『判断基準はお答えできません』

事務局は
判断ミスを撤回するとトラブルになると
判断している為、
明らかな判断ミスでもゴリ押ししてきます。
（謝罪は非を認めたという事になってしまう為）
（金銭的なトラブルに発展する事を回避する為）


メルペイサービス開始あたりから
サービスの低下を感じる様になりました。

ゴリ押しでメルペイを利用させようという
嫌な押しつけを日々感じていました。

実質メルペイはコケた事業です。
今後伸びる事は無いと断言できます。
"
32,"
メルカリは全く身に覚えのない最悪な評価でグループで嫌がらせ行為をしていても、野放し状態！
着払いで返却された商品をすり替えしているのにも関わらず、事務局の対応は取引同士で解決を促し、悪質な取引者を増やしてる。二度と利用しません。
"
33,"
アダルト制限の無い商品をアダルト扱いにされて
無期限利用停止をくらいました。
累計売上1,000万以上のアカウントが
事務局のイチスタッフにより一瞬にして消滅
メッセージを送るもコピペ返信
これでサービスが成り立つのが凄いと思います
"
34,"
事務局の対応がずさんで悪すぎます。
出品した商品を削除され、理由がわからずこちらから確認してもコピペ対応。
他の人が出品しててもスルー。
手数料だけ高くてバカバカしくなります。
高い手数料払ってるんだから、それなりの対応してほしいです。
メリットは検索の引っかかりやすさと利用者の多さのみ。
他のフリマの利用者もっと増えないかなぁ…そしたらそっちに完全移行するのにな…
私は経験ないですが、他の方の体験談みるともっとひどいです…。
個人的には違うフリマアプリに移動する方が増えることを願います…
"
35,"
サイズが合わないから交換しろという方が居たのですが、HPの写真も付いてるし、実寸も商品説明に載せたし、HPのサイズも載せてるし、きちんと載せているので個人の取引なのと、こちらの非ではないので、入らないからキャンセルは承れないです。と伝えた所豹変。メッセージで罵詈雑言の嵐になったので運営に相談したところ、トラブルには入れないの一点張り。じゃあこの中傷メールが何度も来るのはどうするんですか？と問い合わせた所しぶしぶ取引を閉じられました。しかも相手に金額の補填をして、品物はあちらのままとか、なんでそういう意味不明な運営してるんですかね。

こちらは採寸した時の証拠の写真もあるし回収して事実と違うか確かめてくださいとお願いしても、トラブルに入れないとか言われません。

値引き文化もあって定価でも売れないし、プロフや商品説明に自分ルール満載でも運営は一切動きません。二度と使うことは無いですし、トラブル多めなのでオススメしません。
"
36,"
アカウント登録の際の電話番号を古い番号で登録していて、
アカウントにログイン出来なくなったため、問い合わせたところ、
問い合わせたアカウントは、別人のアカウントであると勝手に決めつけられ、別人のアカウントだと言われたのに、もう一つ持っていたアカウントに別人と認められたメールアドレスを勝手に登録された
そのせいで、最初に問い合わせたアカウントに登録されているメールアドレスがわからなくなってしまったため、永遠にログイン出来なくなりました
こちらの件、問い合わせてもずっと同じテンプレ文しか送ってこないです。

ここのカスタマーサポートは自分たちに都合の悪いメールを送ると、何日も返信を放置するため、なるべく登録はやめた方がいいと思います。
"
37,"
出品者が低レベルで、偽物レベルを販売していることも多く、対応がとにかく酷い。
購入しても送られてこないことが多い。

運営も手抜き対応が基本。
取引に困っても、対応がとても遅く、雑で横柄。

売却益が出ても、強制的にアカウントを凍結させられ、売上も凍結させられることも有るようで怖い。
売上代金は早く換金、口座に入金してもらい、メルカリは使わないようにしたほうが賢明。
"
38,"
出品から数秒後、何故か規約違反の出品との事で削除される事が何度かあり、終いには一時利用制限を食らった。
何度規約を読んでも出品した物に違反はないし、同じ物を出品してる人も沢山いるのに？
それどころか、明らかな規約違反や、メーカーの依頼で出品に制限がかかってるはずの物もよく見かけるんだか？
"
39,"
メルカリ事務局の対応には基準がないのでは？とにかく早く終わらせたい印象が強い。出品物に関して偽りなく出した物が購入者が気に入らないから悪い評価！色の記載などないのに、青ではなかったとの理由で評価でウソつき呼ばわり。これに対してメルカリの対応は無し！警告や利用停止処分があるとは書いてあるけど、書かれた方はそのままです。ここは使うに値しない。

購入商品が壊れていた時も代金は返金されましたが処分はそちらでやれと！返金代金以上の処分代金を支払う羽目に！ほんとに早くなくなればいいと感じる。まだ割り切って取引できるヤフオクの方がマシです。
"
40,"
手数料高いのに、運営側に問い合わせしたら定型文ばかりで問い合わせに関しての説明になっていない。再度分からない有無説明して問いあわせしても全く同じ返答でびっくり。
この機会に
メルカリしか知らなかったため、他のフリマ調べたら手数料安いし対応がメルカリより良かったりして、手数料高いのにと考えさせられた。
もし今からフリマ始めるなら、メルカリだけでなく色々調べた方がいいと思いました


いい点
　・出品数が多い
　・商品見やすい？

悪い点
　・運営側の対応が悪すぎる
　・手数料が高め
　・メルカリで売りあげた売上金はお金にするときに手数料また取られます
"
41,"
しっかり計測して発送したのにも関わらず、ネコポスから60サイズに変更され、500円以上多く送料取られました。
すぐに問い合わせしたのにも関わらず、返信に時間がかかり、やっと連絡が来たと思ったら配送業者の計測通りです。の一点張りで勝手に問い合わせ終了させられました。

とても小さい商品で以前にも何度か同じ商品を出品し、同じ梱包をし、発送してネコポスで送れているのに、、納得できないまま、問い合わせ終了させられて、対応に不満を感じていますが連絡手段がない為、諦めます。

解答も終始AIのような感じで、利用者をバカにしている感じです。

電話対応が無いのがずるいな〜と思います。
"
42,"
出品者が自ら発送期日を設けているのにも関わらず、商品発送の確認やご連絡を頂けていない状況でしたので、出品者にご連絡し、継続してのお取引は困難と考えキャンセルさせて頂く旨をお伝えし、キャンセルの処理を行なって頂きたく、事務局にもその旨をお伝えした所、「出品者に、やむ得ない事情があるのかもしれませんので、しばらくお待ち頂きます様お願い致します。」との主旨のご連絡を頂きましたが、あからさまに迷惑行為に該当ししており、正当な理由にも関わらず、キャンセルを申し出たら、規約を破ってる出品者を擁護する事ばかり言って、取引をまるく納めようとする意図が見受けられました。購入者の気持ちを汲んでは頂けず、返金となれば時間を要す始末。無論、事務局には散々お伝えしておりますが、都合が悪いと無回答の常套手段でいらしゃる様です。サポートなんてあったもんじゃない！
"
43,"
結婚式でピアスが欲しかったので購入。特に何も不具合がないと記載されてましたがいざ届くとポスト部分が曲がっていました。
それを悪い評価にしたところ、出品者から非表示にしてくれと連絡があり。でも同じ被害の人が出てほしくない為、きちんと評価したのにも関わらず。
事務局に問い合わせしたところ初回に限り非表示とのこと。まー納得ができない。問い合わせるとなんと、、、、、、何も悪くない購入者が利用停止処分に！！！！！！！
え、、、、、、、？？？？？買ったものが不具合。それを記載していない方には非表示だけでこちらは悪い評価をして問い合わせがあったことに反論しただけなのにも関わらず、利用停止！！！
メルカリ意味わかんないwwww
"
44,"
問い合わせ内容に対して、毎度検討違いのテンプレ解答。再度丁寧に説明し直した所で、暖簾に釘、同テンプレを1日待たせて送ってくるだけ。早期に諦めてもらう為のAIなのか、移民がテンプレを決められた時間差で送る単純作業をこなしているのか、としか思えない。日本語は通じない+人間味を感じさせないサポート陣営。
"
45,"
相手にすぐに連絡をとりたい、確認したいのにクレーム担当者が、こちらの話が理解できない。
とんちんかんな連絡しか(マニュアル通り？)してこないし、こちらの知りたい情報がでてこない。
お金が発生してもいいから、すぐに連絡がついて、会話で解決する術をみつけるべきです。
私は、これにこりてやめました。
"
46,"
掘り出し物などあるのでたまに利用してます。

今のところ出品はあまりしないのでトラブルもなく良い取引が出来てます。
購入する時は業者っぽいのは避けてますね、別に安くもないですから。
まぁ偽物っぽい物や、明らかに説明文と違う様な物もあるので使い方次第って感じです。

売り手を選べるわけでもないので出品メインの利用だと運が悪いと面倒臭い手続きをする羽目になるかもしれません。

個人的にはアリです。
"
47,"
dポイントカード番号変更に伴い、
「dポイント連携解除」をお願いしたところ
「退会」についての定型文が来ました。

退会の文字 どこにも打ってないんだけど…
再度、「dポイント連携解除のみ」お願いしました。

危うく勝手に退会させられるとこでした。
ポイント還元もまだなのに。
酷いね。
"
48,"
商品フリマとしては最高です

ですが、色々な書き込みされてるかとはおもいますがシステム的には最低です、問い合わしても改善されません

スマート払い　AIで評価か知れませんがいきなり次月どから利用できる金額0円

メルカリクレジットカード申し込んで見ましたがやっぱり無理のこと
私審査で落ちたことないです

やっぱりこの会社前から改善無しです
消費者庁のどなたかおかしいとおもいませんでしょうか❔
"
49,"
購入側です！
トラブルがあった時の対応が本当に遅いです！
1日に1通メールその後また、問い合わせまた1日に1通メール！本当に精神的にも参ります。
スムーズに返品返金の提案を望みます。
"
50,"
①追跡補償無しの普通郵便を設定させる
自分達はユーザーから手数料を貰っているのに責任を背負わない発送方法が選択肢にあるのは頭可笑しい
②7日発送
駿河○かな？支払いは7日も待ってくれないのに個人売買でどうして7日も必要なのか。転売ヤーや無在庫販売を助長。ショップじゃないんだから不要。出来ない販売はしないでほしい。
③コンビニ支払い
正直こっちは準備してるのに迷惑。即払いしてくれる方を優先するようにしてほしい。時間経過というのは売れ行きに非常に影響を与えるので24時間以内の支払い期限でお願いします。
④普通評価を消してしまう
悪いか良いかのみになってしまいトラブルを避けるため無言良いにする機会が増えた。これでいいのか？
⑤カード借金機能
最近のメルカリは頭が可笑しい。メルカリで買い物をするユーザーに借金機能を取り付ける。後払いくらいで辞めとけ。買い物依存症を増やしたいの？
"
51,"
問い合わせしたら、聞きたいこととは内容の違う内容を送ってきて、とにかく終わらせたい感、めんどくさい感がヒドイ！
ご了承ください。って強要感、威圧がすごい。
わからないことを聞いて、アドバイスやフォローをするべきでは？
なんのためのカスタマーですか？
"
52,"
配送会社のミスで商品紛失となりましたが、購入代金を返金するには運転免許証などの個人情報を開示することが条件だとメルカリから言われました。

こちらの落ち度は0%、配送履歴からも商品を受け取っていないことは明らかであるにもかかわらず、個人情報と引き換えでないと返金しないのはどうかと思います。

また、なぜ個人情報開示が必要か理由を教えてほしいと事務局に問い合わせしましたが、質問には全部スルーし、一日に一度しか返ってこない返信内容は、質問の答えにはなっておらず同じ定型文をコピペです。

こんな不誠実な会社は信用できませんし、ましてや身分証明書を渡せるはずもありません。
怖い会社です。
"
53,"
売り側です。
先ず送料込みが当たり前になっていておかしい～。買う側が本来負担するものを品物代を本来の値段で素人は売れない！送料込みで本来売る値段になるのでゴミのような物以外は正直売る意味がないです。そのくせ手数料も高い！そして品物が到着しているのに評価をつけない輩が多いです。本来配送完了で取引終了ですよ。クレームや返品などトラブルは運営とのやり取りですよ！何のために高いマージン取ってるのかね？？仕事しろよ！１０%なんて、普通のテナント並みの手数料ですよ。素人相手に良く取れるなぁ！良いね機能も売り手に何のメリットもないですね通知がウザイだけです。あんなの転売目的もしくはバカみたいに値下げするの待ってるだけですし載せ直したさい消えるので売り側にメリット無しです。むしろ邪魔！とにかく色々考えて送料を何とかして欲しいです。普通のネット販売でもそれなりに買わないと送料無料なんてならなよ。買う側何のデメリットも無いので。その割にバカみたいな値下げ交渉が多いですね(商品状態も理解しないで)ほぼ未使用又は未使用な服とか500円でも送料込みなんて手に入らない値段ですよ！それに対して350円にしろとかバカにしてますよ！100円ですよ！中古服屋でそんな値段で売ってねぇ～し！！転売目的多くてウザイです。メルカリで買ってPayフリ、ヤフオク、ラクマで売るって言うのが支流です！ラクマ、Payフリの方が手数料安いのでこれからやる人は最初からそちらで売った方がお金になります。ただし利用者は多いので捨てるようなゴミはメルカリで出した方が売れます！高い物などは他が良いですパーセントなのでメルカリだと損がでかいです！
"
54,"
評価とは？
評価内容が気に入らないと取り消すよう強要する方が増えています。
高評価も取り消しする方がいます。(出品者が購入側になると)
『間違った評価だ』と言うが評価？内容？と何が間違ったのか不明であり、問い出すと内容文が間違っている。と不都合なことを書かれると強要してきます。(各ユーザーの評価数が多いと安心とは限らないです)
理由に関しても…やっぱりその方の都合と矛盾がある。
事務局も対応が面倒なのか？直ぐに承認する。(なぜ？)
と不当でも無ければ間違っていないのにも関わらず、相手の言い訳を鵜呑みに削除されます。(購入者の味方なの？事務局は??)

メルカリルール
受取評価の放置は迷惑行為と記載しているが、そもそも自動取引完了がある時点で放置する方は当然であり矛盾している。内容は任意だが受取は必須するように注意しないとダメでは？と思います。(ペナルティも無いに等しい)

評価の非表示も何が該当したのか、伝えないとダメでは？
私は、とあるハズレの購入者(出品者)に非表示されました。無言評価の内容を書くように事務局から伝えられ、メッセージで理由を書いたが相手は取引中無言のまま評価は非表示にされました。(あなたも無言評価だったのに？)
事務局の内容文で『相互の合意』『不当評価』など書いていますが、合意もしていなければ話合いもしていない。相手が事務局に一方的な要求をしている訳であり、こちらが悪者として扱われます。

メルカリは、利益が出れば利用者のことは気にしない。だから問合せ電話番号もなく、対応の遅いネット上の問合せしかやらない(答えになっていないテンプレ)
"
55,"
メルカリが勝手に作ったルールなのでがわかりにくい。突然の無期限利用制限。
"
